record_Server :[tid: 26286]
http://192.168.1.205:8080/live/server_create/live/server_delete/live/server_select/live/live_update
E0910 15:18:31.808790 26286 webserver.cpp:264] 接口返回数据异常 ret:-1  错误信息:
### Error updating database.  Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
### The error may involve com.dbr.eduLive.Dao.ServiceDao.serverInsert-Inline
### The error occurred while setting parameters
### SQL: insert into server_info    (      netFlag    ,     serverType    ,     serverName    ,     serverApi    )    values    (      ?    ,     ?    ,     ?    ,     ?    )
### Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
; SQL []; Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
E0910 15:18:31.809602 26286 webserver.cpp:515] 解析注册录制 数据失败 main_ret:-1
httpServer_fun :[tid: 26288]
server starting
time url:http://192.168.1.205:8080/live/server_update?serverId=&netFlag=1
E0910 15:26:39.743851 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:41.392247 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:43.127483 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:44.772713 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:46.417446 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:48.218547 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:49.867779 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:51.515489 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:53.302268 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:54.953050 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:56.746927 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:26:58.391620 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:00.039064 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:01.775034 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:03.421324 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:05.069159 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:06.865725 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:08.513236 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:10.163290 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:11.873594 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:13.521876 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:15.318264 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:16.968292 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:18.616416 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:20.338893 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:21.981367 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:23.631795 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:25.382297 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:27.027581 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:28.673846 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:27:30.455868 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
